127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000888
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002317
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003074
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000369
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002465
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000461
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.004940
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000469
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000559
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000266
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001798
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002294
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000844
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002164
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002284
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001904
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001543
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000873
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002013
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000778
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002043
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001357
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001959
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/js/ajax_editor.js, HTTP/1.1, 200, 0.001700
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001749
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/js/typeahead.min.js, HTTP/1.1, 200, 0.001912
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001358
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000896
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/images/files_toggle.png, HTTP/1.1, 200, 0.000576
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.064009
127.0.0.1, 2015-05-02 17:37:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.108142
127.0.0.1, 2015-05-02 17:37:00, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.153752
127.0.0.1, 2015-05-02 17:37:00, GET, /admin/default/edit/welcome/views/layout.html, HTTP/1.1, 200, 0.204607
127.0.0.1, 2015-05-02 17:37:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.216891
127.0.0.1, 2015-05-02 17:37:00, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.132501
127.0.0.1, 2015-05-02 17:37:00, GET, /admin/static/_2.10.4/images/save_icon.png, HTTP/1.1, 200, 0.000502
127.0.0.1, 2015-05-02 17:38:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.108376
127.0.0.1, 2015-05-02 17:38:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.067518
127.0.0.1, 2015-05-02 17:39:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101869
127.0.0.1, 2015-05-02 17:39:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.053388
127.0.0.1, 2015-05-02 17:39:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.095233
127.0.0.1, 2015-05-02 17:40:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.070105
127.0.0.1, 2015-05-02 17:40:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093053
127.0.0.1, 2015-05-02 17:41:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.038162
127.0.0.1, 2015-05-02 17:42:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.105343
127.0.0.1, 2015-05-02 17:42:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.040437
127.0.0.1, 2015-05-02 17:42:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070901
127.0.0.1, 2015-05-02 17:43:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.200153
127.0.0.1, 2015-05-02 17:43:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.071409
127.0.0.1, 2015-05-02 17:44:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.195283
127.0.0.1, 2015-05-02 17:44:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056811
127.0.0.1, 2015-05-02 17:45:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.182084
127.0.0.1, 2015-05-02 17:45:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075395
127.0.0.1, 2015-05-02 17:46:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.197000
127.0.0.1, 2015-05-02 17:46:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.053131
127.0.0.1, 2015-05-02 17:47:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.154005
127.0.0.1, 2015-05-02 17:47:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.071788
127.0.0.1, 2015-05-02 17:48:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.194785
127.0.0.1, 2015-05-02 17:48:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075149
127.0.0.1, 2015-05-02 17:49:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.200471
127.0.0.1, 2015-05-02 17:49:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066156
127.0.0.1, 2015-05-02 17:50:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.195833
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/default/edit/welcome/views/layout.html, HTTP/1.1, 200, 0.043924
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 304, 0.002161
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 304, 0.001320
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 304, 0.002629
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.002206
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002684
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 304, 0.005866
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001231
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002758
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001426
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.css, HTTP/1.1, 304, 0.000922
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001719
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.003268
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002067
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 304, 0.000783
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/theme/web2py.css, HTTP/1.1, 304, 0.001688
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 304, 0.002870
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 304, 0.001123
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 304, 0.001262
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 304, 0.005874
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/css/web2py-codemirror.css, HTTP/1.1, 304, 0.004015
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.js, HTTP/1.1, 304, 0.000974
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 304, 0.002857
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/mode/css/css.js, HTTP/1.1, 304, 0.001086
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/mode/xml/xml.js, HTTP/1.1, 304, 0.002526
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 304, 0.000448
127.0.0.1, 2015-05-02 17:50:36, GET, /admin/static/_2.10.4/codemirror/mode/python/python.js, HTTP/1.1, 304, 0.002967
